"Магістр"," 8.02030201","Історія","75892","Історія єврейської середньовічної і модерної філософії","Вибіркові навчальні дисципліни","4.5","2","Весняний семестр","",
"Магістр"," 8.02030201","Історія","75829","Історія сіонізму і Держави Ізраїль","Вибіркові навчальні дисципліни","4.5","2","Весняний семестр","",
"Магістр"," 8.02030201","Історія","75840","Єврейські релігійні течії XVII-XX ст.","Вибіркові навчальні дисципліни","4.5","2","Весняний семестр","",
"Магістр"," 8.02030201","Історія","76177","Іврит","Вибіркові навчальні дисципліни","4.5","1","Осінній семестр","",
"Магістр"," 8.02030201","Історія","76315","Їдиш","Вибіркові навчальні дисципліни","3","1","Весняний семестр","",
"Магістр"," 8.04010213","Лабораторна діагностика біологічних систем","76135","Ембріологія","Вибіркові навчальні дисципліни","3","2","Осінній семестр","",
"Магістр"," 8.04010213","Лабораторна діагностика біологічних систем","76246","Структура доклінічних досліджень","Нормативні навчальні дисципліни та практика","3","1","Весняний семестр","",
"Магістр"," 8.04010213","Лабораторна діагностика біологічних систем","76102","Фізіологія кровотворення","Нормативні навчальні дисципліни та практика","4","2","Осінній семестр","",
"Магістр"," 8.04010213","Лабораторна діагностика біологічних систем","76066","Ендокринологія","Вибіркові навчальні дисципліни","3","2","Весняний семестр","",
"Магістр"," 8.04010213","Лабораторна діагностика біологічних систем","76012","Діагностика злоякісних захворювань гемопоетичної системи","Вибіркові навчальні дисципліни","3","2","Весняний семестр","",
"Магістр"," 8.04010213","Лабораторна діагностика біологічних систем","75928","Клінічна ензимологія і ензимодіагностика","Вибіркові навчальні дисципліни","3","2","Осінній семестр","",
"Магістр"," 8.04010213","Лабораторна діагностика біологічних систем","75966","Радіобіологічні основи променевої діагностики","Вибіркові навчальні дисципліни","3.5","2","Осінній семестр","",
"Магістр"," 8.04010213","Лабораторна діагностика біологічних систем","76133","Клінічна імунологія","Вибіркові навчальні дисципліни","3","2","Осінній семестр","",
"Магістр"," 8.04010601","Екологія та охорона навколишнього середовища","76049","Дистанційне зондування навколишнього середовища","Вибіркові навчальні дисципліни","6","2","Осінній семестр","",
"Магістр"," 8.04010601","Екологія та охорона навколишнього середовища","76045","Екологія та менеджмент інвазивних видів","Вибіркові навчальні дисципліни","6","2","Весняний семестр","",
"Магістр"," 8.04010601","Екологія та охорона навколишнього середовища","76208","Відновлення екосистем і популяцій","Вибіркові навчальні дисципліни","6","2","Осінній семестр","",
"Магістр"," 8.04010601","Екологія та охорона навколишнього середовища","76254","Дослідження проблем навколишнього середовища","Вибіркові навчальні дисципліни","6","2","Осінній семестр","",
"Магістр"," 8.04010601","Екологія та охорона навколишнього середовища","75842","Екосистеми прісноводних водно-болотних угідь","Вибіркові навчальні дисципліни","6","2","Весняний семестр","",
"Магістр"," 8.04010601","Екологія та охорона навколишнього середовища","75880","Статистичний аналіз","Вибіркові навчальні дисципліни","6","2","Осінній семестр","",
"Магістр"," 8.04010601","Екологія та охорона навколишнього середовища","75867","Популяції і місця їх існування","Вибіркові навчальні дисципліни","8","2","Осінній семестр","",
